id,subdata,buyprice,sellprice,name
1,0,1.0,0.5,Stone
3,0,0.3,0.1,Dirt
4,0,0.5,0.2,Cobblestone
5,0,0.2,0.1,Wood
6,0,0.2,0.1,Sapling
12,0,0.5,0.25,Sand
13,0,0.3,0.25,Gravel
17,0,0.75,0.5,Log
20,0,0.5,0.35,Glass
23,0,7.25,2.5,Dispenser
24,0,1.25,1.15,Sandstone
25,0,2.25,2.0,NoteBlock
35,0,0.25,0.1,WhiteWool
35,1,1.7,0.5,OrangeWool
35,2,4.65,1.5,MagentaWool
35,3,6.55,2.1,LightBlueWool
35,4,1.15,0.3,YellowWool
35,5,1.35,0.4,LightGreenWool
35,6,1.55,0.45,PinkWool
35,7,2.05,0.4,DarkGrayWool
35,8,1.5,0.3,LightGrayWool
35,9,6.9,2.25,CyanWool
35,10,7.15,2.3,PurpleWool
35,11,12.15,4.0,BlueWool
35,12,1.65,0.5,BrownWool
35,13,1.65,0.5,DarkGreenWool
35,14,2.15,0.65,RedWool
35,15,3.15,0.75,BlackWool
37,0,1.0,0.5,YellowFlower
38,0,1.0,0.5,RedRose
39,0,8.0,3.0,BrownMushroom
40,0,15.0,5.0,RedMushroom
45,0,1.5,1.45,BrickBlock
46,0,7.0,4.0,TNT
47,0,1.0,0.7,Bookshelf
50,0,0.95,0.75,Torch
52,0,300.0,0.0,MonsterSpawner
54,0,2.0,0.6,Chest
65,0,0.9,0.6,Ladder
66,0,2.0,1.5,Rails
81,0,0.75,0.25,Cactus
84,0,10.0,6.0,Jukebox
86,0,4.0,2.0,Pumpkin
87,0,0.5,0.1,Netherrack
88,0,0.75,0.2,Soulsand
89,0,20.0,10.0,Glowstone
91,0,5.0,2.5,JackOLantern
260,0,5.0,1.0,Apple
261,0,3.0,2.0,Bow
262,0,1.0,0.8,Arrow
263,0,1.15,0.8,Coal
264,0,75.0,65.0,Diamond
265,0,5.0,5.0,IronIngot
266,0,15.0,15.0,GoldIngot
287,0,0.85,0.75,String
288,0,0.5,0.25,Feather
289,0,1.5,0.75,Gunpowder
295,0,0.25,0.15,Seeds
296,0,0.75,0.5,Wheat
297,0,2.5,1.5,Bread
318,0,0.45,0.3,Flint
319,0,1.0,0.45,RawPorkchop
320,0,2.0,0.9,CookedPorkchop
321,0,1.1,0.75,Painting
322,0,30.0,25.0,GoldenApple
325,0,15.5,15.0,Bucket
327,0,25.0,17.0,LavaBucket
331,0,0.5,0.25,Redstone
336,0,0.4,0.3,ClayBrick
337,0,0.19,0.17,ClayBalls
338,0,3.0,0.1,SugarCane
341,0,5.0,3.0,Slimeball
351,0,3.0,2.5,BlackDye
351,1,2.0,1.75,RedDye
351,2,1.5,1.25,GreenDye
351,3,1.5,1.0,CocoaBean
351,4,12.0,10.0,LapisLazuli
351,5,7.0,6.25,PurpleDye
351,6,6.25,5.0,CyanDye
351,7,1.35,0.85,LightGrayDye
351,8,1.9,1.25,GrayDye
351,9,1.4,1.0,PinkDye
351,10,1.2,0.5,LimeDye
351,11,1.0,0.75,YellowDye
351,12,6.4,5.0,LightBlueDye
351,13,4.5,3.25,MagentaDye
351,14,1.55,1.3,OrangeDye
351,15,0.75,0.3,BoneMeal
