id,subdata,buyprice,sellprice,name
1,0,1.0,0.5,stone
2,0,5.0,1.0,grass
3,0,0.4,0.1,dirt
4,0,0.5,0.2,cobblestone
5,0,0.2,0.1,wood
6,0,0.2,0.1,sapling
12,0,0.3,0.25,sand
13,0,0.3,0.25,gravel
17,0,0.75,0.5,log
19,0,30.0,10.0,sponge
20,0,0.5,0.35,glass
23,0,7.25,2.5,dispenser
24,0,1.25,1.15,sandstone
25,0,2.25,2.0,noteblock
35,0,0.25,0.1,whitecloth
35,1,1.7,0.5,orangecloth
35,2,4.65,1.5,magentacloth
35,3,6.55,2.1,lightbluecloth
35,4,1.15,0.3,yellowcloth
35,5,1.35,0.4,lightgreencloth
35,6,1.55,0.45,pinkcloth
35,7,2.05,0.4,darkgraycloth
35,8,1.5,0.3,lightgraycloth
35,9,6.9,2.25,cyancloth
35,10,7.15,2.3,purplecloth
35,11,12.15,4.0,bluecloth
35,12,1.65,0.5,browncloth
35,13,1.65,0.5,darkgreencloth
35,14,2.15,0.65,redcloth
35,15,3.15,0.75,blackcloth
37,0,2.0,1.5,yellowflower
38,0,4.0,3.0,redrose
39,0,8.0,7.0,brownmushroom
40,0,15.0,14.0,redmushroom
45,0,1.5,1.45,brickblock
46,0,9.5,8.0,tnt
47,0,1.0,0.7,bookshelf
50,0,0.95,0.75,torch
54,0,2.0,0.6,chest
65,0,0.9,0.6,ladder
66,0,2.0,1.5,minecarttrack
81,0,0.75,0.25,cactus
84,0,10.0,8.0,jukebox
86,0,4.0,2.0,pumpkin
87,0,0.5,0.1,netherack
88,0,0.75,0.2,soulsand
89,0,20.0,15.0,glowstone
91,0,5.0,2.5,jackolantern
260,0,5.0,1.0,apple
261,0,3.0,2.0,bow
262,0,1.0,0.8,arrow
263,0,1.15,0.8,coal
264,0,75.0,75.0,diamond
265,0,5.0,5.0,ironingot
266,0,15.0,15.0,goldingot
287,0,0.85,0.75,string
288,0,0.5,0.25,feather
289,0,1.5,0.75,gunpowder
295,0,0.25,0.15,seeds
296,0,0.75,0.5,wheat
297,0,2.5,1.5,bread
302,0,90.0,-1.0,chainmailhelmet
303,0,144.0,-1.0,chainmailchestplate
304,0,126.0,-1.0,chainmailleggings
305,0,72.0,-1.0,chainmailboots
318,0,0.45,0.3,flint
319,0,1.0,0.45,pork
320,0,2.0,0.9,grilledpork
321,0,1.1,0.75,painting
322,0,15.0,10.0,goldenapple
325,0,15.5,15.0,bucket
327,0,25.0,17.0,lavabucket
331,0,0.5,0.25,redstone
336,0,0.4,0.3,claybrick
337,0,0.19,0.17,clayball
338,0,3.0,0.1,sugarcane
351,0,3.0,2.5,blackdye
351,1,2.0,1.75,reddye
351,2,1.5,1.25,greendye
351,3,1.5,1.0,browndye
351,4,12.0,10.0,bluedye
351,5,7.0,6.25,purpledye
351,6,6.25,5.0,tealdye
351,7,1.35,0.85,lightgraydye
351,8,1.9,1.25,graydye
351,9,1.4,1.0,pinkdye
351,10,1.2,0.5,limedye
351,11,1.0,0.75,yellowdye
351,12,6.4,5.0,lightbluedye
351,13,4.5,3.25,magentadye
351,14,1.55,1.3,orangedye
351,15,0.75,0.3,bonemeal
